task,n,avg_confidence,avg_uncertainty,avg_token_entropy,avg_self_consistency,accuracy,ece,brier,spearman_uncertainty_correct,mean_consistency,mean_rouge_l,spearman_uncertainty_rouge
math,12,0.6759791192477769,0.3240208807522231,0.36648733588594135,1.0,0.0,0.6759791192477768,0.4689118996403097,,,,
open_ended,8,0.521489151119815,0.478510848880185,0.6752625021423835,0.37833511917254925,,,,,0.37833511917254925,,
qa,12,0.7748901696338262,0.2251098303661738,0.268703324860132,0.55,0.16666666666666666,0.701302865275155,0.5851485483435883,0.45342519294190703,,,
summarization,8,0.6935256918602561,0.3064743081397438,0.4155214023422969,0.9649868864299371,,,,,,0.06497710848477666,0.07142857142857144
